date, pm25, pm10, o3, no2, so2, co
2022/1/3, 18, 4, 22, 7, , 
2022/1/4, 15, 5, 22, 3, , 
2022/1/5, 17, 6, 20, 7, , 
2022/1/6, 23, 10, 15, 5, , 
2022/1/7, 39, 12, 21, 5, , 
2022/1/8, 49, 9, 21, 4, , 
2022/1/9, 35, 20, 17, 6, , 
2022/1/10, 66, 33, 14, 8, , 
2022/1/11, 95, 19, 16, 7, , 
2022/1/12, 64, 15, 16, 5, , 
2022/1/13, 58, 15, 25, 4, , 
2022/1/14, 51, 13, 22, 5, , 
2022/1/15, 44, 20, 17, 5, , 
2022/1/16, 66, 7, 29, 2, , 
2022/1/17, 25, 10, 26, 6, , 
2022/1/18, 34, , , , , 
2021/10/1, 20, 11, 29, 4, , 
2021/10/2, 33, 20, 27, 1, 3, 
2021/10/3, 56, 8, 18, 6, , 
2021/10/4, 27, 10, 15, 7, , 
2021/10/5, 31, 8, 25, 5, , 
2021/10/6, 26, 12, 24, 8, , 
2021/10/7, 34, 30, 28, 5, , 
2021/10/8, 69, 26, 29, 5, , 
2021/10/9, 60, 27, 30, 6, , 
2021/10/10, 67, 18, 22, 6, , 
2021/10/11, 53, 4, 26, 2, , 
2021/10/12, 12, 7, 22, 5, , 
2021/10/13, 22, 9, 17, 4, , 
2021/10/14, 32, 10, 24, 4, , 
2021/10/15, 32, 8, 24, 3, , 
2021/10/16, 26, 11, 21, 5, , 
2021/10/17, 39, 12, 24, 8, , 
2021/10/18, 36, 16, 17, 6, , 
2021/10/19, 48, 11, 21, 4, , 
2021/10/20, 37, 9, 29, 1, , 
2021/10/21, 14, 4, 29, 2, , 
2021/10/22, 13, 8, , 3, , 
2021/10/23, 28, 10, , 4, , 
2021/10/24, 34, 17, 16, 11, , 
2021/10/25, 55, 18, 17, 11, , 
2021/10/26, 55, 9, 20, 6, , 
2021/10/27, 28, 15, 19, 7, , 
2021/10/28, 49, 27, 20, 9, , 
2021/10/29, 71, 34, 29, 6, , 
2021/10/30, 89, 20, 26, 3, , 
2021/10/31, 63, 19, 20, 6, , 
2021/11/1, 55, 14, 13, 8, , 
2021/11/2, 44, 14, 9, 10, , 
2021/11/3, 46, 18, 24, 4, , 
2021/11/4, 54, 8, 23, 2, , 
2021/11/5, 31, 9, 20, 4, , 
2021/11/6, 32, 7, 24, 2, , 
2021/11/7, 25, 6, 21, 2, , 
2021/11/8, 23, 13, 17, 8, , 
2021/11/9, 39, 22, 9, 12, , 
2021/11/10, 64, 18, 10, 12, , 
2021/11/11, 57, 18, 14, 8, , 
2021/11/12, 58, 24, 4, 10, , 
2021/11/13, 70, 27, 17, 7, , 
2021/11/14, 80, 27, 14, 6, , 
2021/11/15, 77, 31, 8, 10, , 
2021/11/16, 85, 12, 11, 9, , 
2021/11/17, 47, 15, 17, 6, , 
2021/11/18, 51, 10, 20, 3, , 
2021/11/19, 40, 10, 22, 2, , 
2021/11/20, 39, 12, 16, 4, , 
2021/11/21, 42, 5, 18, 5, , 
2021/11/22, 16, 10, 17, 5, , 
2021/11/23, 40, 10, 18, 6, , 
2021/11/24, 36, 21, 15, 7, , 
2021/11/25, 67, 14, 16, 5, , 
2021/11/26, 49, 16, 10, 6, , 
2021/11/27, 58, 15, 12, 6, , 
2021/11/28, 56, 14, 13, 4, , 
2021/11/29, 51, 7, 28, 3, , 
2021/11/30, 28, 3, 25, 3, , 
2021/12/1, 13, 4, 26, 3, , 
2021/12/2, 15, 8, 19, 5, , 
2021/12/3, 32, 15, 13, 5, , 
2021/12/4, 57, 27, 7, 5, , 
2021/12/5, 80, 25, 10, 6, , 
2021/12/6, 78, 23, 8, 8, , 
2021/12/7, 74, 25, 7, 9, 1, 
2021/12/8, 78, 32, 6, 11, , 
2021/12/9, 94, 34, 1, 12, , 
2021/12/10, 96, 18, 5, 10, , 
